"","word","mean","sd","n","mean_M","sd_M","n_M","mean_F","sd_F","n_F"
"1","drought",1.57247259439708,0.920589604701575,821,1.69208211143695,0.989159806426467,341,1.48953974895397,0.860802242395514,478
"2","deathbed",1.38855054811206,0.813792967583349,821,1.54545454545455,0.955703397481258,341,1.27824267782427,0.676025075901893,478
"3","cleaver",2.29232643118149,1.12826310313601,821,2.39882697947214,1.1450141673819,341,2.21338912133891,1.11237965181703,478
"4","oxide",1.98051157125457,1.02510450695079,821,2.08504398826979,1.05514666438058,341,1.90585774058577,0.99765300926206,478
"5","rainstorm",2.09013398294762,1.01772707375839,821,2.0733137829912,1.05881059160631,341,2.10041841004184,0.989652879786435,478
"6","lurch",2.97442143727162,1.21397495161541,821,3.02346041055718,1.1978072081879,341,2.94142259414226,1.22719006525474,478
"7","maroon",2.7442143727162,1.22389074629492,821,2.90615835777126,1.23550069327555,341,2.62761506276151,1.20595611412961,478
"8","driftwood",2.33008526187576,1.14633397318905,821,2.42521994134897,1.20701760368322,341,2.25732217573222,1.09635318146157,478
"9","cleat",2.4884287454324,1.17657008388563,821,2.47800586510264,1.17208341902015,341,2.4979079497908,1.18117475896477,478
"10","walnut",2.80998781973203,1.19468237429922,821,2.91788856304985,1.23871479859214,341,2.73430962343096,1.15584135108584,478
"11","turd",3.78075517661389,1.2871484515509,821,3.83284457478006,1.27125706749434,341,3.7489539748954,1.29494621355115,478
"12","java",2.2962962962963,1.43620265376376,27,1.69230769230769,1.25064086135971,13,2.85714285714286,1.40642169281549,14
"13","kappa",3.19354838709677,1.2759141778534,31,3.53846153846154,1.19828937903056,13,2.94444444444444,1.30484266449445,18
"14","stocking",2.5625,1.26841277498373,32,2.28571428571429,1.2666473875533,14,2.77777777777778,1.26284252455723,18
"15","sundae",3.03030303030303,1.13150476371204,33,2.66666666666667,1.29099444873581,15,3.33333333333333,0.90748521297303,18
"16","door",2.03571428571429,1.10494319804209,28,2.54545454545455,1.21355975243384,11,1.70588235294118,0.919558717697852,17
"17","troop",2.09677419354839,1.10618981824029,31,2.07142857142857,1.26881445053645,14,2.11764705882353,0.992619825334483,17
"18","acne",2.4,1.2862913567872,45,2.25,1.39044357430761,16,2.48275862068966,1.24271274853421,29
"19","canine",2.42857142857143,1.11897311868344,35,2.33333333333333,1.07308673997732,12,2.47826086956522,1.16266016364477,23
"20","wait",1.83333333333333,0.912870929175277,30,1.72727272727273,1.00904995821903,11,1.89473684210526,0.875261030404661,19
"21","thrift",2.21621621621622,1.00374673474314,37,2.23529411764706,1.03255821656129,17,2.2,1.00524937990007,20
"22","steeple",2.42857142857143,1.09237233163623,35,2.58823529411765,1.22774302733775,17,2.27777777777778,0.9582800496696,18
"23","angst",2.075,1.04727974858434,40,1.94444444444444,1.05564155136453,18,2.18181818181818,1.05272271193563,22
"24","lifeline",2.16666666666667,0.985527456652574,30,1.66666666666667,0.866025403784439,9,2.38095238095238,0.973457265430305,21
"25","ethic",2.25,1.13073932830314,36,2.29411764705882,1.21267812518166,17,2.21052631578947,1.08417646003371,19
"26","menu",2,1.01709525543122,30,2.09090909090909,1.13618180363404,11,1.94736842105263,0.970319776071918,19
"27","bullet",1.6304347826087,0.852674111309015,46,1.66666666666667,0.899735410842437,15,1.61290322580645,0.843698972969179,31
"28","hangout",2.73913043478261,1.35570817804999,23,3.08333333333333,1.56427928995103,12,2.36363636363636,1.02691063610494,11
"29","sewer",2.25641025641026,1.09347222711461,39,2.42857142857143,1.28388147753274,14,2.16,0.986576572463249,25
"30","foot",2.55263157894737,1.2881448722674,38,2.61904761904762,1.35927151357595,21,2.47058823529412,1.2307338795828,17
"31","trumpet",2.40816326530612,1.25695344893481,49,2.33333333333333,1.4142135623731,18,2.45161290322581,1.17866335814259,31
"32","mumps",2.95833333333333,1.33446509937476,24,3.25,1.66904592079256,8,2.8125,1.16726175299288,16
"33","planet",2.06451612903226,1.09348018945529,31,2.15384615384615,1.34450448407296,13,2,0.90748521297303,18
"34","spank",2.62162162162162,1.20994378545615,37,2.65,1.13670808176853,20,2.58823529411765,1.32565189291023,17
"35","faun",2.61538461538462,1.1340872303989,26,2.91666666666667,1.16450015288132,12,2.35714285714286,1.08181776206978,14
"36","barter",2.2,1.03056730275962,30,2.18181818181818,1.07871977994119,11,2.21052631578947,1.03166248617468,19
"37","venue",2.4390243902439,1.09655780713569,41,2.35294117647059,0.996316746232607,17,2.5,1.17953564923918,24
"38","swallow",2.74074074074074,1.16330406742019,27,2.85714285714286,1.0690449676497,7,2.7,1.21828179265546,20
"39","lacquer",2.55,1.29990137692965,40,2.875,1.36014705087354,16,2.30434782608696,1.25895998234819,23
"40","hearsay",2.52777777777778,1.2980449279284,36,2.92307692307692,1.44115338424578,13,2.30434782608696,1.18455141523531,23
"41","bereaved",1.71052631578947,0.983867018503808,38,2,1.0690449676497,15,1.52173913043478,0.897955517089759,23
"42","contrast",1.97297297297297,1.09256290148151,37,1.8,1.20712172424443,15,2.04761904761905,1.02353263143832,21
"43","shard",2.51851851851852,1.12216721537356,27,2.26666666666667,0.961150104723255,15,2.83333333333333,1.26730446462585,12
"44","roommate",2.40625,1.26642435429886,32,2.36363636363636,1.36181696807811,11,2.42857142857143,1.247855302967,21
"45","kin",2.7,1.11880478097434,30,2.875,1.45773797371133,8,2.63636363636364,1.00216216468644,22
"46","teamwork",2.1,0.884736469627909,30,2.08333333333333,0.90033663737852,12,2.11111111111111,0.900254139862666,18
"47","nausea",2.11428571428571,0.963187983955871,35,2.17647058823529,0.951005659660279,17,2.05555555555556,0.998364675929488,18
"48","airfield",2.3125,1.20315445607008,32,2,0.866025403784439,9,2.43478260869565,1.30822874551543,23
"49","version",1.93548387096774,0.963863194682999,31,1.9375,0.997914491994847,16,1.93333333333333,0.961150104723255,15
"50","blossom",2.35714285714286,1.10036420958164,42,2.21052631578947,1.08417646003371,19,2.47826086956522,1.12288448436043,23
"51","arch",2.02631578947368,1.10249942342972,38,1.85714285714286,1.23145585242976,14,2.125,1.03472323541759,24
"52","fencing",2.37931034482759,1.32054623718067,29,2.23529411764706,1.2514697241996,17,2.58333333333333,1.44337567297406,12
"53","cuisine",2.62857142857143,1.19029690526737,35,3,1.52752523165195,7,2.53571428571429,1.10494319804209,28
"54","spool",2.67647058823529,1.19900434035897,34,2.5625,1.41273965518539,16,2.77777777777778,1.0032626514091,18
"55","tapeworm",2.37931034482759,1.39933129701931,29,2.23076923076923,1.09192842819834,13,2.5,1.63299316185545,16
"56","gnat",2.4,1.22474487139159,25,2.375,1.18773493916542,8,2.41176470588235,1.27763568405726,17
"57","noose",2.47619047619048,1.28914885172534,21,2.5,1.44599761096244,12,2.44444444444444,1.13038833052088,9
"58","anklet",2.71428571428571,1.04906105662592,28,2.3,1.15950180872841,10,2.94444444444444,0.937595311059234,18
"59","terrier",2.48484848484848,1.17582981658731,33,2.5,1.211060141639,16,2.47058823529412,1.17885787199006,17
"60","act",2.32258064516129,1.04521438866845,31,2.45454545454545,1.12815214963553,11,2.25,1.01954582251634,20
"61","courtyard",2.09090909090909,0.94748470843981,33,2,0.816496580927726,10,2.1304347826087,1.0137396037394,23
"62","blimp",3.22222222222222,0.974420314594759,45,3.22727272727273,1.02035559543011,22,3.21739130434783,0.951387586591789,23
"63","share",2.05882352941176,1.12657099658152,34,2.45454545454545,1.36847625946791,11,1.8695652173913,0.967863055024125,23
"64","sentry",2.02857142857143,0.984757787052057,35,2.07142857142857,0.828741930164745,14,2,1.09544511501033,21
"65","disc",2.03448275862069,0.981353242819383,29,2.42857142857143,0.975900072948533,7,1.90909090909091,0.971454035826165,22
"66","clapper",3.31034482758621,0.92980214008381,29,3.7,0.823272602348565,10,3.10526315789474,0.936585811581694,19
"67","rage",1.71428571428571,1.00711752754369,21,1.7,0.948683298050514,10,1.72727272727273,1.1037127426019,11
"68","earpiece",2.5,0.983738753675929,32,2.5,1.16774841624228,12,2.5,0.888523316638639,20
"69","scare",1.85714285714286,0.943798867620113,35,2,1.05409255338946,10,1.8,0.912870929175277,25
"70","promise",2.3125,1.1198358174592,32,2.0625,1.12361025271221,16,2.5625,1.09354164682162,16
"71","hippo",3.36666666666667,1.18854687672002,30,3.54545454545455,1.21355975243384,11,3.26315789473684,1.19452944074029,19
"72","yawn",2.52941176470588,1.21194294589301,34,2.41176470588235,1.17573506419451,17,2.64705882352941,1.27186754767292,17
"73","belly",3.37931034482759,1.11527681072101,29,3.2,1.03279555898864,10,3.47368421052632,1.17229220156408,19
"74","torso",1.65,0.875093979915421,20,1.85714285714286,0.899735410842437,7,1.53846153846154,0.877058019307029,13
"75","cipher",2.57142857142857,1.03381965002754,28,3.08333333333333,0.90033663737852,12,2.1875,0.981070843517429,16
"76","pocket",2.5,1.15881713089561,36,2.46666666666667,1.30201309334357,15,2.52380952380952,1.07791686224159,21
"77","countess",2.56818181818182,1.18905331256712,44,2.15789473684211,1.06787212586198,19,2.88,1.20138808606267,25
"78","moan",2.66666666666667,1.30088727117598,27,2.7,1.33749350984926,10,2.64705882352941,1.3200935795706,17
"79","quarrel",2.33333333333333,1.32842232831014,18,2.6,1.67332005306815,5,2.23076923076923,1.23516841994969,13
"80","poultry",2.65789473684211,1.27928011406487,38,2.47058823529412,1.32842232831014,17,2.80952380952381,1.24976188208185,21
"81","trace",2.09090909090909,0.879049072991533,33,1.8,0.918936583472681,10,2.21739130434783,0.85048230910629,23
"82","guilt",1.5,0.762000762001143,32,1.4375,0.629152869605896,16,1.5625,0.892094912738176,16
"83","hitch",2.4,1.3228756555323,25,2.4,1.50554530541816,10,2.4,1.24211800681624,15
"84","past",2.03225806451613,1.11007119794909,31,2.41666666666667,1.24011240937215,12,1.78947368421053,0.976328005472037,19
"85","kick",1.94444444444444,1.14503760248784,36,1.6875,0.946484724300046,16,2.21052631578947,1.27274625944674,19
"86","trick",2.71428571428571,1.1522721433919,35,3,1.18817705157201,18,2.41176470588235,1.06412073618386,17
"87","engine",2.03333333333333,0.964305479332802,30,2,1,13,2.05882352941176,0.966345450349804,17
"88","farewell",1.9,1.02889294372892,30,1.93333333333333,1.16291915126588,15,1.86666666666667,0.915475416434127,15
"89","grope",2.44444444444444,1.15470053837925,27,2.3,1.15950180872841,10,2.52941176470588,1.17885787199006,17
"90","title",1.96969696969697,1.07485023622039,33,1.78571428571429,1.05090228108783,14,2.10526315789474,1.10023920844036,19
"91","airport",2.23333333333333,1.1351236704106,30,2.42857142857143,1.34245960914949,14,2.0625,0.928708781050335,16
"92","angle",2.14285714285714,0.879266309884257,35,1.90909090909091,0.831209414593634,11,2.25,0.896854406292881,24
"93","wring",2.67857142857143,1.18801332542007,28,2.75,1.48804761828569,8,2.65,1.08942283125661,20
"94","putty",3.46808510638298,1.13924200257256,47,3.5,0.985184366143778,18,3.44827586206897,1.24172135408161,29
"95","scuba",2.78048780487805,1.35115127061982,41,2.71428571428571,1.38357714432037,21,2.85,1.34848843251679,20
"96","troll",3.34375,1.42804569819353,32,3.92857142857143,1.20666646429076,14,2.88888888888889,1.4507153971054,18
"97","pin",1.95454545454545,1.1329385612423,22,1.625,0.916125381312904,8,2.14285714285714,1.23145585242976,14
"98","steamship",2.18518518518519,1.07549763211973,27,2.26666666666667,0.961150104723255,15,2.18181818181818,1.25045446283996,11
"99","booster",2.55172413793103,1.24172135408161,29,2.25,1.05528970602217,12,2.76470588235294,1.34765591698632,17
"100","sleet",2.47222222222222,1.25324974391975,36,2.625,1.25830573921179,16,2.35,1.26802789276976,20
"101","present",2.27906976744186,1.14070949925179,43,1.93333333333333,1.03279555898864,15,2.44444444444444,1.18754217199071,27
"102","boxer",2.5,1.16124280341574,34,2,1.17260393995586,17,3,0.935414346693485,17
"103","scarecrow",2.48387096774194,1.20750342282291,31,2.2,1.42427926635594,15,2.75,0.930949336251263,16
"104","filter",2.03846153846154,1.03849002809923,26,2.6,1.14017542509914,5,1.9047619047619,0.995226703056239,21
"105","stutter",2.32,1.06926766215636,25,3.14285714285714,0.899735410842437,7,2,0.970142500145332,18
"106","boots",2.35294117647059,1.12498762124305,34,2.28571428571429,1.38278266986823,14,2.4,0.940324691963255,20
"107","replay",2,1.01835015443463,28,2,1.15470053837925,10,2,0.970142500145332,18
"108","yearbook",1.93103448275862,1.09970887325298,29,1.75,1.13818036595899,12,2.05882352941176,1.08803654782905,17
"109","goat",2.47058823529412,1.33110330445466,34,2.5,1.31656117720877,16,2.44444444444444,1.3814835257889,18
"110","buttocks",3.625,1.33373391418459,40,3.63636363636364,1.56669890360128,11,3.62068965517241,1.26530044719619,29
"111","canon",2.32432432432432,1.0288627501074,37,2.53333333333333,0.990430401872025,15,2.18181818181818,1.05272271193563,22
"112","gaudy",2.39285714285714,1.10014429068075,28,2.22222222222222,1.092906420717,9,2.47368421052632,1.12390297389803,19
"113","piglet",3.24324324324324,1.34175269714665,37,3.22222222222222,1.51679055731872,18,3.26315789473684,1.19452944074029,19
"114","bail",2.25,1.1712364713391,40,2.41666666666667,1.31137217055151,12,2.17857142857143,1.12393394522432,28
"115","vanguard",2.42857142857143,1.0690449676497,28,2.2,1.03279555898864,10,2.55555555555556,1.09663776110663,18
"116","shit",3.15384615384615,1.54122828139916,26,3.38461538461538,1.55662356498831,13,2.92307692307692,1.55250005161237,13
"117","product",2.16216216216216,1.09324983201242,37,2.41176470588235,1.22774302733775,17,1.95,0.944513241388333,20
"118","clown",2.78048780487805,1.44069766297359,41,2.88235294117647,1.61564046670262,17,2.70833333333333,1.33446509937476,24
"119","warden",2.1304347826087,1.10772430689979,46,2.52631578947368,1.26352333894953,19,1.85185185185185,0.90739287156216,27
"120","say",2.27027027027027,1.04479260697595,37,2.45454545454545,1.21355975243384,11,2.19230769230769,0.98058067569092,26
"121","plane",2.06666666666667,1.04826073794292,30,2.08333333333333,0.996204919895622,12,2.05555555555556,1.10996673093875,18
"122","grounding",1.875,1.12880181980146,32,2.22222222222222,1.64147630029935,9,1.73913043478261,0.864312196560091,23
"123","contract",2.08333333333333,0.974307632279888,24,2.66666666666667,0.516397779494322,6,1.88888888888889,1.02261998512983,18
"124","audience",2.25714285714286,0.918530064282926,35,2.11111111111111,0.900254139862666,18,2.41176470588235,0.939336436627724,17
"125","scapegoat",2.6,1.25677650339556,40,2.58823529411765,1.37198868114007,17,2.60869565217391,1.19617308092336,23
"126","silly",3.40540540540541,1.30084287759598,37,3.63636363636364,1.12006493318265,11,3.30769230769231,1.37896282094133,26
"127","pen",1.84375,1.08090090859132,32,1.70588235294118,1.159994928995,17,2,1,15
"128","shyster",3.43589743589744,1.39160777510407,39,3.5,1.46528455377425,18,3.38095238095238,1.35927151357595,21
"129","justice",1.92592592592593,1.10682935679861,27,2.14285714285714,1.4638501094228,7,1.89473684210526,0.994134846772434,19
"130","archduke",2.82926829268293,1.18115280604142,41,2.83333333333333,1.33711584684304,12,2.82758620689655,1.13606355195855,29
"131","intake",2.22222222222222,1.09833929473055,36,2.3,1.41813649241218,10,2.19230769230769,0.98058067569092,26
"132","trillion",2.71875,1.22433326160971,32,2.3125,1.40089257261219,16,3.125,0.885061203156784,16
"133","nurture",2.18518518518519,1.00142348826508,27,2.09090909090909,0.943879807448539,11,2.25,1.06458129484475,16
"134","trait",2.42857142857143,1.35658989177046,35,2.52941176470588,1.41940335435455,17,2.33333333333333,1.32842232831014,18
"135","artiste",2.675,1.22762017010608,40,2.57142857142857,1.39858641350614,14,2.73076923076923,1.15091936494934,26
"136","butcher",2.02564102564103,1.11183062623338,39,2.1304347826087,1.25424181466106,23,1.875,0.885061203156784,16
"137","swordfish",2.47222222222222,1.1335433978991,36,2.3125,1.01447851956888,16,2.6,1.23117402250218,20
"138","cooler",2.46875,1.13547986161316,32,2.92307692307692,0.954073587443029,13,2.15789473684211,1.16729306492209,19
"139","annals",2.76470588235294,1.3040455357687,34,2.95,1.14593101656986,20,2.5,1.50639661750509,14
"140","starch",2.12903225806452,1.02443270427657,31,1.82352941176471,1.01459931239178,17,2.5,0.94053994312596,14
"141","ramp",2.12121212121212,1.08275042592856,33,2.41666666666667,1.16450015288132,12,1.95238095238095,1.02353263143832,21
"142","instant",2.15789473684211,1.12769355118177,38,2.64285714285714,1.27744594087896,14,1.875,0.9469631093315,24
"143","prance",3.30769230769231,1.19547053396177,39,3.30769230769231,1.18213192894698,13,3.30769230769231,1.22537278472245,26
"144","boy",2.59459459459459,1.16570101606667,37,2.71428571428571,1.38278266986823,14,2.52173913043478,1.03877398090211,23
"145","junkie",2.47727272727273,1.17113811398554,44,2.75,1.06992375527664,20,2.25,1.22474487139159,24
"146","patient",2.0625,1.13414739896569,32,2.125,1.45773797371133,8,2.04166666666667,1.04170289792063,24
"147","snowball",2.66666666666667,1.35873244097351,27,3,1.37198868114007,18,2,1.11803398874989,9
"148","drizzle",2.96153846153846,1.18256565926021,26,2.9,0.994428926011753,10,3,1.31656117720877,16
"149","slobber",3.51724137931034,1.40460186670134,29,3.46153846153846,1.45002210416397,13,3.5625,1.41273965518539,16
"150","gift",2.17391304347826,0.936733876686023,23,2.58333333333333,0.792961461098759,12,1.72727272727273,0.904534033733291,11
"151","host",2.24242424242424,1.03169469291741,33,2,1.09544511501033,16,2.47058823529412,0.943242218283799,17
"152","wrath",2.07142857142857,1.21498579258791,28,2,1.4142135623731,12,2.125,1.08781125813871,16
"153","prairie",2.16666666666667,1.11674815279973,30,2.08333333333333,1.24011240937215,12,2.22222222222222,1.06027496741928,18
"154","ad",1.92,0.953939201416946,25,1.75,0.965307299163423,12,2.07692307692308,0.954073587443029,13
"155","album",2.25714285714286,1.01003369608488,35,2.30769230769231,1.31558702896054,13,2.22727272727273,0.812510406193767,22
"156","seafood",2.21052631578947,1.09440579303534,38,2.25,1.42222616792382,12,2.19230769230769,0.938902796640026,26
"157","basics",1.9,0.922889017125588,30,1.75,0.930949336251263,16,2.07142857142857,0.91687476825319,14
"158","fist",1.97142857142857,0.984757787052057,35,2.2,0.918936583472681,10,1.88,1.01324561023804,25
"159","anthem",2.2,0.867721831274625,35,2.35,0.812727700887249,20,2,0.925820099772551,15
"160","payload",2.63157894736842,1.26108174567493,38,2.61538461538462,1.32529629004621,13,2.64,1.25432584814845,25
"161","nightcap",2.46153846153846,1.31481745473326,39,2.45454545454545,1.36847625946791,11,2.46428571428571,1.31886996683448,28
"162","pinkie",3.1,1.2096106376586,20,3.25,1.58113883008419,8,3,0.953462589245592,12
"163","auto",1.8125,0.965117408869628,32,2,1,17,1.6,0.9102589898328,15
"164","hand",2.15384615384615,1.08914407578326,39,2.15384615384615,1.21423184538991,13,2.15384615384615,1.04660623702738,26
"165","gymnast",2.30769230769231,1.12318229221194,26,2.4,1.34164078649987,5,2.28571428571429,1.10194633003868,21
"166","blues",2.11111111111111,1.15470053837925,27,2.16666666666667,1.46680440124618,12,2.06666666666667,0.883715101688537,15
"167","limber",2.83333333333333,1.11674815279973,30,2.66666666666667,1.37068883368468,12,2.94444444444444,0.937595311059234,18
"168","frostbite",2,1.0215078369105,24,1.85714285714286,1.21498579258791,7,2.05882352941176,0.966345450349804,17
"169","fling",2.75757575757576,1.32359130376183,33,2.85714285714286,1.35062053300541,14,2.77777777777778,1.30859401674224,18
"170","forum",2.33333333333333,1.03449284124951,39,2.20833333333333,1.02062072615966,24,2.53333333333333,1.06009882737862,15
"171","ghetto",2.26315789473684,1.32917797247154,38,2.30769230769231,1.25064086135971,13,2.24,1.39283882771841,25
"172","grindstone",2.15789473684211,1.10346666978342,38,1.88235294117647,1.11143786045242,17,2.38095238095238,1.07126982951031,21
"173","shrapnel",1.84615384615385,1.11304375330044,39,1.82352941176471,1.07443555632987,17,1.86363636363636,1.16682126372117,22
"174","report",1.90625,0.962502618345831,32,1.69230769230769,0.947330933431342,13,2.05263157894737,0.970319776071918,19
"175","catch",1.975,1.1432634351064,40,2.38461538461538,1.26085034391223,13,1.77777777777778,1.05003052458683,27
"176","aerial",2.5,1.27355848688319,42,2.55555555555556,1.3814835257889,18,2.45833333333333,1.2150922908826,24
"177","soot",2.5,1.29515225160547,32,2.30769230769231,1.37747446344239,13,2.63157894736842,1.25656172487509,19
"178","use",2,1.01980390271856,26,1.88888888888889,0.927960727138337,9,2.05882352941176,1.08803654782905,17
"179","column",2,1.14119480431491,44,2.2,1.36111409475744,20,1.83333333333333,0.916831342257085,24
"180","chlorine",1.85294117647059,0.857492925712544,34,2,0.816496580927726,16,1.70588235294118,0.919558717697852,17
"181","spaceship",2.25,1.29379791446665,24,2.33333333333333,1.44749372891149,15,2.11111111111111,1.05409255338946,9
"182","tactic",2.38888888888889,1.17783767442784,36,2,1.211060141639,16,2.7,1.08093526754916,20
"183","imprint",2.02777777777778,1.18288053040294,36,2.11764705882353,1.26897364734145,17,1.94736842105263,1.12909423927748,19
"184","open",2.05128205128205,1.05003052458683,39,2.07142857142857,0.997248963150875,14,2.04,1.09848380355227,25
"185","jump",2.32,1.21518174223721,25,2,1.11803398874989,9,2.5,1.26491106406735,16
"186","sell",1.90625,0.995453373772393,32,2.1,0.875595035770913,10,1.81818181818182,1.05272271193563,22
"187","chitchat",2.63414634146341,1.27976750937378,41,2.78571428571429,1.3114039117603,14,2.55555555555556,1.2810252304407,27
"188","countdown",1.92857142857143,1.01574900036674,28,1.5,0.707106781186548,10,2.16666666666667,1.09812674721144,18
